id|~|scan_date|~|ticker|~|scan_time_et|~|minutes_since_open|~|gap_pct|~|prev_close|~|adv|~|adv_source|~|in_active_theme|~|rank_by_prescore|~|rank_by_gap|~|shortlisted_by_prescore|~|shortlisted_by_gap|~|acting_key|~|board_n|~|created_at
78|~|2026-08-24|~|NSSC|~|2026-08-24 12:35:00.025773+00|~||~|21.12|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:35:02.235646+00
32|~|2026-08-24|~|NSSC|~|2026-08-24 11:40:00.123047+00|~||~|20.5|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:40:02.362097+00
16|~|2026-08-24|~|SCTX|~|2026-08-24 11:20:00.021275+00|~||~|13.3|~|34.13|~|179577.036206|~|pending|~|f|~|3|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:20:02.330145+00
2|~|2026-08-24|~|SCTX|~|2026-08-24 11:00:00.106847+00|~||~|13.3|~|34.13|~|179577.036206|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:00:14.067943+00
8|~|2026-08-24|~|SCTX|~|2026-08-24 11:10:00.024761+00|~||~|13.3|~|34.13|~|179577.036206|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:10:02.299148+00
20|~|2026-08-24|~|SCTX|~|2026-08-24 11:25:00.023042+00|~||~|13.3|~|34.13|~|179577.036206|~|pending|~|f|~|3|~|4|~|t|~|t|~|prescore|~|5|~|2026-08-24 11:25:27.91153+00
5|~|2026-08-24|~|SCTX|~|2026-08-24 11:05:00.027658+00|~||~|13.3|~|34.13|~|179577.036206|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:05:01.984769+00
12|~|2026-08-24|~|SCTX|~|2026-08-24 11:15:00.020602+00|~||~|13.3|~|34.13|~|179577.036206|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:15:01.829904+00
42|~|2026-08-24|~|SDOT|~|2026-08-24 11:50:00.021621+00|~||~|80.27|~|13.18|~|19613391.074482|~|pending|~|f|~|4|~|1|~|t|~|t|~|prescore|~|5|~|2026-08-24 11:50:02.744398+00
151|~|2026-08-24|~|SDOT|~|2026-08-24 13:50:00.062143+00|~|20|~|63.45|~|13.18|~|19613391.074482|~|pending|~|f|~|3|~|1|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:50:06.906594+00
