=== CONTROL_TICK ===
scan_date|ticker|dist_sec|minutes_since_open|gap_pct|prev_close|rel_volume|today_volume|adv|market_cap|float_shares|ep_score|filter_reason
2026-07-16|MAN|0.022244|1|17.17|39.02|0.02||1114716.376707|||25|score 25 < 50 (catalyst=routine)
2026-07-17|DCBO|1140.058656|20|11.65|18.54|0.32||68467.91120900001|||40|score 40 < 50 (catalyst=routine)
2026-07-17|SG|1140.058656|20|15.16|6.22|0.3||5185821.9003880005|||56.4|
2026-07-17|TRVI|6359.979346||11.75|17.36|0.02||3005483.657373|||15|score 15 < 50 (catalyst=routine)
2026-07-20|HUT|0.024927|1|13.73|91.45|0.13||4148554.8702165||||already scored earlier today
2026-07-20|IREN|1140.073436|20|13.15|33.62|0.22||39984517.093499|||72|
2026-07-20|PLOW|240.054961|5|10.26|44.62|0.09||231348.58331000002|||20|score 20 < 50 (catalyst=routine)
2026-07-21|HAS|1140.039628|20|10.61|81.59|0.62||1881067.4015374999|||72|
2026-07-21|PKE|0.026115|1|10.23|32.66|0.02||325186.7487705|||20|score 20 < 50 (catalyst=routine)
2026-07-22|ARWR|0.026075|1|18.06|74.52|0.17||2420376.19183||||already scored earlier today
2026-07-22|EFOR|840.065205|15|11.63|18.31|0.02||962301.622154||||filter:session_rvol_too_low: session_rvol=0.47x (today 14,991 / baseline 31,590 n=20) < 1.0x
2026-07-22|FTAI|3359.965317||11.51|210.25|0.11||1215497.6331004999|||23|score 23 < 50 (catalyst=routine)
2026-07-22|PAG|1140.055244|20|10.17|195.19|0.46||297910.84035149997|||42|score 42 < 50 (catalyst=routine)
2026-07-22|SMCI|0.026075|1|13.2|25.5|0.21||52044849.477692||||already scored earlier today
2026-07-23|ALLE|540.051380|10|10.04|139.95|0.04||1310871.882235|||15|score 15 < 50 (catalyst=routine)
2026-07-23|CLF|0.026712|1|11.11|9.45|0.1||20317670.8566455||||already scored earlier today
2026-07-23|DGX|1140.044140|20|11.12|209.83|0.34||984526.682614|||27|score 27 < 50 (catalyst=routine)
2026-07-23|LMT|1140.044140|20|10.11|514.36|0.31||1177305.3869495|||27|score 27 < 50 (catalyst=routine)
2026-07-23|MEDP|0.026712|1|20.52|528.12|0.01||352014.606161||||filter:session_rvol_too_low: session_rvol=1.00x (today 3,034 / baseline 3,047 n=21) < 1.0x
2026-07-23|NVCR|0.026712|1|15.41|15.57|0.03||1480816.9874635||||already scored earlier today
2026-07-23|OII|1440.041943|25|12.36|45|0.1||1009524.8156335|||15|score 15 < 50 (catalyst=routine)
2026-07-23|TMO|1140.044140|20|10.56|526.46|0.35||2105237.3609865|||37|score 37 < 50 (catalyst=routine)
2026-07-23|URI|1140.044140|20|10.93|1035.06|0.23||483596.34182|||25|score 25 < 50 (catalyst=routine)
2026-07-24|AMKR|0.026691|1|11.59|65.33|0.06||5498447.9553815|||36|score 36 < 50 (catalyst=strong)
2026-07-24|RNG|1140.062828|20|14.79|38.62|0.28||1577168.2342615002|||27|score 27 < 50 (catalyst=routine)
2026-07-24|SSNC|1440.042149|25|10.52|66.95|0.24||1913083.973158|||25|score 25 < 50 (catalyst=routine)
2026-07-24|THC|0.026691|1|17.55|199.02|0.02||1240503.8997765||||already scored earlier today
2026-07-24|WKC|240.046375|5|10.84|36.27|0.03||1113123.6381105||||already scored earlier today
2026-07-27|BMNR|1440.056168|25|12.16|15.79|0.18||39313407.690659|||37|score 37 < 50 (catalyst=routine)
2026-07-27|GENI|1440.056168|25|10.03|6.48|0.11||5422662.058705499|||-2|score -2 < 50 (catalyst=routine)
2026-07-27|NNE|1440.056168|25|10.38|15.59|0.13||2663523.6486235|||57|
2026-07-27|OMER|0.020337|1|19.58|9.79|0.09||1423300.967038|||28|score 28 < 50 (catalyst=routine)
2026-07-27|QBTS|840.041052|15|10.24|16.21|0.1||20618275.086363003||||filter:session_rvol_too_low: session_rvol=0.90x (today 2,069,276 / baseline 2,302,283 n=22) < 1.0x
2026-07-27|TRAX|0.020337|1|26.69|35.52|0.43||704110.255601|||5|score 5 < 50 (catalyst=routine)
2026-07-28|AWI|1440.058906|25|10.14|165.22|0.25||518598.081685|||30|score 30 < 50 (catalyst=routine)
2026-07-28|CORZ|6959.974656||11.28|20.74|0.02||11533860.009666499|||72|
2026-07-28|ICLR|1440.058906|25|10.01|168.78|0.08||793495.9108414999|||18|score 18 < 50 (catalyst=strong)
2026-07-28|IQV|0.032173|1|10.21|213.22|0.03||1348923.493177|||0|score 0 < 50 (catalyst=routine)
2026-07-28|ITRI|1140.046552|20|18.77|84.78|0.51||605193.613199|||37|score 37 < 50 (catalyst=routine)
2026-07-28|KNSA|1140.046552|20|16.85|63.535|0.17||729331.1812975|||35|score 35 < 50 (catalyst=routine)
