ticker	d	scan_n	reasons	max_score
HLMN	2026-08-04	2	M&A/buyout catalyst — no momentum trade ;; outside top-20 gap cap (gap 11.8%)	""
INSP	2026-08-04	33	already scored earlier today ;; filter:pm_rvol_too_low: pm_rvol=0.33x (today 716 / baseline 2,189 n=13) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.36x (today 716 / baseline 1,980 n=13) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.62x (today 1,387 / baseline 2,222 n=13) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.63x (today 1,387 / baseline 2,189 n=13) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.67x (today 10,600 / baseline 15,735 n=20) < 1.0x ;; <none> ;; pre-mkt volume 10,053 < 25,000 shares ;; pre-mkt volume 23,719 < 25,000 shares ;; pre-mkt volume 5,473 < 25,000 shares ;; pre-mkt volume 6,039 < 25,000 shares ;; pre-mkt volume 7,353 < 25,000 shares ;; pre-mkt volume 7,572 < 25,000 shares	55
MED	2026-08-04	17	pre-mkt volume 13,939 < 25,000 shares ;; pre-mkt volume 24,349 < 25,000 shares ;; pre-mkt volume 3,381 < 25,000 shares ;; pre-mkt volume 3,997 < 25,000 shares ;; pre-mkt volume 4,898 < 25,000 shares ;; pre-mkt volume 531 < 25,000 shares ;; score 42 < 50 (catalyst=routine)	42
MRAM	2026-08-04	33	outside top-20 gap cap (gap 11.6%) ;; quality filter: filter:mcap_too_small: $362M < $500M	""
NUCL	2026-08-04	0	""	""
PAY	2026-08-04	3	filter:session_rvol_too_low: session_rvol=0.41x (today 10,151 / baseline 24,694 n=22) < 1.0x ;; score 40 < 50 (catalyst=routine) ;; score 45 < 50 (catalyst=routine)	45
PICS	2026-08-04	0	""	""
PSIX	2026-08-04	1	outside top-20 gap cap (gap 13.6%)	""
REPL	2026-08-04	0	""	""
RFIL	2026-08-04	16	filter:pm_rvol_too_low: pm_rvol=0.53x (today 851 / baseline 1,612 n=14) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.58x (today 851 / baseline 1,456 n=13) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.59x (today 851 / baseline 1,430 n=11) < 1.0x ;; outside top-20 gap cap (gap 10.5%)	""
TSAT	2026-08-04	4	<none> ;; pre-mkt volume 1,205 < 25,000 shares ;; pre-mkt volume 1,625 < 25,000 shares	60
W	2026-08-04	17	score 25 < 50 (catalyst=routine) ;; score 5 < 50 (catalyst=routine)	25
WATT	2026-08-04	0	""	""
AMWL	2026-08-05	2	quality filter: filter:mcap_too_small: $200M < $500M	""
AXTI	2026-08-05	0	""	""
BVS	2026-08-05	0	""	""
FTK	2026-08-05	32	EP cooldown — alerted within last 60 days ;; filter:session_rvol_too_low: session_rvol=0.98x (today 8,476 / baseline 8,655 n=20) < 1.0x ;; outside top-20 gap cap (gap 10.1%)	""
HGTY	2026-08-05	1	<none>	60.5
IMC	2026-08-05	1	already up 62% in prior 5 days (extended)	""
INTA	2026-08-05	18	filter:session_rvol_too_low: session_rvol=0.08x (today 2,465 / baseline 31,770 n=21) < 1.0x ;; outside top-20 gap cap (gap 10.3%) ;; outside top-20 gap cap (gap 10.8%) ;; score 22 < 50 (catalyst=routine)	21.6
KMT	2026-08-05	28	already scored earlier today ;; <none> ;; pre-mkt volume 1,770 < 25,000 shares ;; pre-mkt volume 2,123 < 25,000 shares ;; pre-mkt volume 2,848 < 25,000 shares ;; pre-mkt volume 3,450 < 25,000 shares ;; pre-mkt volume 3,814 < 25,000 shares ;; pre-mkt volume 5,252 < 25,000 shares ;; pre-mkt volume 5,785 < 25,000 shares ;; pre-mkt volume 5,902 < 25,000 shares	72
NGL	2026-08-05	6	pre-mkt volume 100 < 25,000 shares	""
OSPN	2026-08-05	25	filter:pm_rvol_too_low: pm_rvol=0.37x (today 1,002 / baseline 2,718 n=12) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.38x (today 1,002 / baseline 2,626 n=12) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.39x (today 1,002 / baseline 2,589 n=12) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.40x (today 1,002 / baseline 2,508 n=10) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.42x (today 1,002 / baseline 2,366 n=11) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.42x (today 1,002 / baseline 2,393 n=12) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.42x (today 1,002 / baseline 2,394 n=11) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.43x (today 1,002 / baseline 2,351 n=12) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.44x (today 1,002 / baseline 2,269 n=12) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.51x (today 1,002 / baseline 1,955 n=10) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.06x (today 1,002 / baseline 17,427 n=20) < 1.0x ;; outside top-20 gap cap (gap 11.1%) ;; routine catalyst, gap 11.0% ;; routine catalyst, gap 11.1%	""
QLYS	2026-08-05	26	filter:session_rvol_too_low: session_rvol=0.20x (today 4,089 / baseline 20,513 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.26x (today 4,089 / baseline 15,684 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.30x (today 8,299 / baseline 27,359 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.38x (today 4,089 / baseline 10,803 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.42x (today 4,089 / baseline 9,830 n=21) < 1.0x ;; score 14 < 50 (catalyst=routine) ;; score -6 < 50 (catalyst=routine) ;; score 8 < 50 (catalyst=routine)	14.4
RIGL	2026-08-05	0	""	""
ROCK	2026-08-05	2	already scored earlier today ;; <none>	60.5
SHOP	2026-08-05	34	score 30 < 50 (catalyst=routine) ;; score 34 < 50 (catalyst=routine) ;; score 40 < 50 (catalyst=routine) ;; score 42 < 50 (catalyst=routine) ;; score 48 < 50 (catalyst=routine)	48
TBI	2026-08-05	27	score 24 < 50 (catalyst=routine) ;; score 30 < 50 (catalyst=routine) ;; score 36 < 50 (catalyst=routine) ;; score 44 < 50 (catalyst=routine)	44.4
TVTX	2026-08-05	30	filter:pm_rvol_too_low: pm_rvol=0.17x (today 1,282 / baseline 7,351 n=18) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.22x (today 1,678 / baseline 7,502 n=18) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.25x (today 1,282 / baseline 5,094 n=18) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.28x (today 2,072 / baseline 7,445 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.29x (today 1,282 / baseline 4,479 n=16) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.29x (today 2,072 / baseline 7,165 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.29x (today 2,072 / baseline 7,176 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.29x (today 2,072 / baseline 7,210 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.36x (today 2,914 / baseline 8,007 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.37x (today 2,914 / baseline 7,823 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.38x (today 2,914 / baseline 7,762 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.39x (today 1,282 / baseline 3,314 n=12) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.48x (today 4,012 / baseline 8,338 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.49x (today 4,012 / baseline 8,134 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.49x (today 4,012 / baseline 8,235 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.55x (today 5,140 / baseline 9,405 n=19) < 1.0x ;; filter:pm_rvol_too_low: pm_rvol=0.58x (today 5,037 / baseline 8,611 n=19) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.23x (today 7,159 / baseline 31,631 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.27x (today 5,140 / baseline 19,292 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.40x (today 17,362 / baseline 42,944 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.67x (today 36,525 / baseline 54,340 n=21) < 1.0x ;; score 22 < 50 (catalyst=strong) ;; score 36 < 50 (catalyst=strong) ;; score 39 < 50 (catalyst=strong)	38.9
WYNN	2026-08-05	1	outside top-20 gap cap (gap 10.4%)	""
ZETA	2026-08-05	1	outside top-20 gap cap (gap 10.5%)	""
ADMA	2026-08-06	0	""	""
ALNT	2026-08-06	2	filter:session_rvol_too_low: session_rvol=0.39x (today 10,890 / baseline 27,798 n=22) < 1.0x ;; outside top-20 gap cap (gap 14.9%)	""
AMIX	2026-08-06	5	already up 340% in prior 5 days (extended)	""
ATNI	2026-08-06	3	quality filter: filter:mcap_too_small: $440M < $500M	""
AVNT	2026-08-06	2	outside top-20 gap cap (gap 10.8%) ;; outside top-20 gap cap (gap 13.6%)	""
