ticker|d|t_ms|o|h|l|c|v
ARM|2026-05-21|1779372060000|280.7367|281.9444|280.5601|281.2|81663
ARM|2026-05-21|1779372120000|281.54|283.3|281.315|282.26|127700
ARM|2026-05-21|1779372180000|282.3|282.78|281.62|282.0701|59798
ARM|2026-05-21|1779372240000|282.08|284.2999|282.02|283.755|95677
ARM|2026-05-21|1779372300000|283.7993|283.95|282.1501|282.1501|68713
ARM|2026-05-21|1779372360000|282.36|282.91|281.6315|282.3|44276
ARM|2026-05-21|1779372420000|282.28|283.9499|282.26|283.75|81388
ARM|2026-05-21|1779372480000|283.8999|283.98|283.0819|283.2584|50146
ARM|2026-05-21|1779372540000|283.82|284.795|283.49|283.69|105046
ARM|2026-05-21|1779372600000|283.8009|283.83|282.94|283.07|53356
ARM|2026-05-21|1779372660000|283.05|283.505|282.29|282.985|60066
ARM|2026-05-21|1779372720000|283.07|283.45|282.6|282.78|38168
ARM|2026-05-21|1779372780000|282.78|283|281.53|282.11|97839
ARM|2026-05-21|1779372840000|281.9197|282.9999|281.5501|282.2101|60499
ARM|2026-05-21|1779372900000|282.31|282.9|281|281.32|101833
ARM|2026-05-21|1779372960000|281.21|281.95|280.73|281.1224|44592
ARM|2026-05-21|1779373020000|281.3508|282.5|280.33|280.69|68692
ARM|2026-05-21|1779373080000|280.69|281.75|280.05|281.7312|51365
ARM|2026-05-21|1779373140000|281.7399|281.9399|279.88|279.88|70300
ARM|2026-05-21|1779373200000|280|280.35|278.51|278.51|94814
ARM|2026-05-21|1779373260000|278.49|280.2099|278.36|279.11|185890
ARM|2026-05-21|1779373320000|278.7701|280|278|278.5|108231
ARM|2026-05-21|1779373380000|278.905|280|278.81|279.8327|46727
ARM|2026-05-21|1779373440000|279.705|280|279.11|279.11|43831
ARM|2026-05-21|1779373500000|279.22|279.95|278.3831|279.94|91203
ARM|2026-05-21|1779373560000|279.9499|280|277.5425|277.66|79371
ARM|2026-05-21|1779373620000|277.66|279.95|277.6|279.9499|62606
ARM|2026-05-21|1779373680000|279.9499|279.9499|278.67|278.67|32929
ARM|2026-05-21|1779373740000|278.6466|279.93|278.58|279.5401|37878
ARM|2026-05-21|1779373800000|279.73|282|279.6|281.822|97578
ARM|2026-05-21|1779373860000|281.78|282.35|281.43|281.53|59490
ARM|2026-05-21|1779373920000|281.46|281.62|280.8|281.2725|50056
ARM|2026-05-21|1779373980000|281.38|281.71|279.84|280|43874
ARM|2026-05-21|1779374040000|280.045|280.6199|279.194|280.5|30984
ARM|2026-05-21|1779374100000|280.425|281.98|280.32|281.02|65827
ARM|2026-05-21|1779374160000|281.05|281.5|280.63|280.735|37681
ARM|2026-05-21|1779374220000|280.8599|281.6075|280.5701|281.3401|57063
ARM|2026-05-21|1779374280000|281.5|282.49|281.5|282.46|45173
ARM|2026-05-21|1779374340000|282.49|282.7913|281.82|282.11|70786
ARM|2026-05-21|1779374400000|282.225|282.29|281.39|281.65|47906
ARM|2026-05-21|1779374460000|281.5156|281.87|280.91|281.42|51511
ARM|2026-05-21|1779374520000|281.42|281.99|281.22|281.9|25190
ARM|2026-05-21|1779374580000|281.89|282.14|281.08|281.45|30081
ARM|2026-05-21|1779374640000|281.78|281.78|280.6601|280.88|43217
ARM|2026-05-21|1779374700000|280.98|281.84|280.7601|281.395|22303
ARM|2026-05-21|1779374760000|281.34|281.4|279.4701|279.655|41091
ARM|2026-05-21|1779374820000|279.655|280.9778|279.4701|279.6301|50186
ARM|2026-05-21|1779374880000|279.73|279.94|278.7001|278.78|38585
ARM|2026-05-21|1779374940000|278.8238|279.76|278.5|279.23|19811
ARM|2026-05-21|1779375000000|279.39|279.5|278.1|278.1|47046
ARM|2026-05-21|1779375060000|278.01|278.82|277.57|278.68|44889
ARM|2026-05-21|1779375120000|278.625|279.085|278.41|279.085|27500
ARM|2026-05-21|1779375180000|279.17|279.7723|278.9001|279.29|35893
ARM|2026-05-21|1779375240000|279.32|279.93|279.15|279.83|26168
ARM|2026-05-21|1779375300000|279.8|280.04|279.28|279.89|41971
ARM|2026-05-21|1779375360000|279.53|280.0999|279.24|279.35|16161
ARM|2026-05-21|1779375420000|279.5|280.71|279.455|280.7032|43376
ARM|2026-05-21|1779375480000|280.53|281.17|280.01|280.48|34746
ARM|2026-05-21|1779375540000|280.245|280.5|279.5001|279.96|22309
ARM|2026-05-21|1779375600000|279.89|279.9399|279.2072|279.57|27593
ARM|2026-05-21|1779375660000|279.7799|280.47|279.32|280.4426|38572
ARM|2026-05-21|1779375720000|280.53|280.9399|280.2804|280.52|22483
ARM|2026-05-21|1779375780000|280.555|280.555|279.29|279.83|32215
ARM|2026-05-21|1779375840000|279.6001|280.8504|279.6001|280.8504|28496
ARM|2026-05-21|1779375900000|280.69|280.86|280.32|280.32|20179
ARM|2026-05-21|1779375960000|280.31|280.43|279.3801|279.3801|26274
ARM|2026-05-21|1779376020000|279.7|280.14|279.4395|279.84|18829
ARM|2026-05-21|1779376080000|279.7|279.8113|279.2401|279.6999|33016
ARM|2026-05-21|1779376140000|279.595|280.21|279.5|279.99|16368
ARM|2026-05-21|1779376200000|279.84|280.26|279.2901|280.13|42100
ARM|2026-05-21|1779376260000|280.3|280.53|279.35|279.81|33655
ARM|2026-05-21|1779376320000|279.94|280.41|279.9|280.2851|23916
ARM|2026-05-21|1779376380000|280.29|282.5|280.0901|282.36|69413
ARM|2026-05-21|1779376440000|282.45|282.6|281.76|282.128|33011
ARM|2026-05-21|1779376500000|282.2551|282.3|281.88|282.2399|27172
ARM|2026-05-21|1779376560000|282.135|282.6799|282.081|282.49|34681
ARM|2026-05-21|1779376620000|282.5499|283|281.6|281.86|46494
ARM|2026-05-21|1779376680000|281.98|282.1701|281.84|281.97|18227
ARM|2026-05-21|1779376740000|282.01|282.3979|281.11|281.2735|30251
ARM|2026-05-21|1779376800000|281.2725|282.03|281.26|281.975|17497
ARM|2026-05-21|1779376860000|282.0237|282.16|281.78|281.83|23062
ARM|2026-05-21|1779376920000|281.975|282.7699|281.84|282.74|31912
ARM|2026-05-21|1779376980000|282.6153|283|282.3615|282.52|34106
ARM|2026-05-21|1779377040000|282.555|283.38|282.51|282.5118|48062
ARM|2026-05-21|1779377100000|282.82|283.5|282.5101|282.98|35065
ARM|2026-05-21|1779377160000|282.99|283.64|282.99|283.395|46640
ARM|2026-05-21|1779377220000|283.395|284.1999|283.395|283.8292|54796
ARM|2026-05-21|1779377280000|283.795|284.25|283.5101|284.0275|30276
ARM|2026-05-21|1779377340000|283.85|284.1499|283.5901|283.705|41764
ARM|2026-05-21|1779377400000|283.71|283.925|283.25|283.43|62749
ARM|2026-05-21|1779377460000|283.395|283.71|282.84|283.19|42749
ARM|2026-05-21|1779377520000|283.45|283.8999|282.1|282.59|56066
ARM|2026-05-21|1779377580000|282.6642|283.2799|282.21|283.185|32184
ARM|2026-05-21|1779377640000|283.09|283.27|282.2913|282.76|21713
ARM|2026-05-21|1779377700000|282.54|283.45|282.26|283.321|26546
ARM|2026-05-21|1779377760000|283.3221|283.5|282.595|283.028|46081
ARM|2026-05-21|1779377820000|282.92|283.4699|282.91|283.4699|20014
ARM|2026-05-21|1779377880000|283.455|284.15|283.12|283.8|31391
ARM|2026-05-21|1779377940000|283.815|284.22|283.15|284.107|38872
ARM|2026-05-21|1779378000000|284|284.2399|283.6325|284.05|27482
ARM|2026-05-21|1779378060000|284.19|284.3|283.78|284.2|30848
ARM|2026-05-21|1779378120000|284.08|284.96|283.98|284.6185|62840
ARM|2026-05-21|1779378180000|284.7|285.85|284.4775|285.07|108954
ARM|2026-05-21|1779378240000|285.4653|285.4653|284.2|284.23|39568
ARM|2026-05-21|1779378300000|284.63|285.51|284.4|285.235|28670
ARM|2026-05-21|1779378360000|285.16|285.8399|284.98|285.82|40478
ARM|2026-05-21|1779378420000|285.715|286.24|285.4401|286.175|50908
ARM|2026-05-21|1779378480000|286.195|286.98|286.195|286.5371|86314
ARM|2026-05-21|1779378540000|286.5801|287.38|286.5551|287.22|81825
ARM|2026-05-21|1779378600000|287.1202|287.6|286.3701|286.5|128101
ARM|2026-05-21|1779378660000|286.5|286.6662|285.93|286.26|39063
ARM|2026-05-21|1779378720000|286.47|287.09|286.43|286.995|27355
ARM|2026-05-21|1779378780000|286.995|287.46|286.63|287.46|33805
