ticker	scan_date	adv_shares	n	last_close
GRDN	2026-08-07	277491.550000000000	20	39.47
GRMN	2026-07-29	808785.300000000000	20	253.65
HALO	2026-08-07	1655735.900000000000	20	85.76
HBB	2026-08-07	43655.150000000000	20	27
HGTY	2026-08-05	121646.350000000000	20	11.72
HII	2026-07-30	459273.300000000000	20	280.4
HIPO	2026-07-30	137504.400000000000	20	29.83
HLMN	2026-08-04	1147573.700000000000	20	8.31
HMN	2026-08-25	246393.400000000000	20	51.2
HPK	2026-08-11	438464.400000000000	20	7.92
HQ	2026-07-27	491599.350000000000	20	11.7
HQ	2026-07-29	445598.400000000000	20	11.69
HURN	2026-07-29	275812.450000000000	20	121.37
HZO	2026-08-10	308114.750000000000	20	35.68
ICUI	2026-08-07	303519.950000000000	20	166.37
IESC	2026-07-30	432853.050000000000	20	248.11
IESC	2026-07-31	433949.000000000000	20	285.77
IMC	2026-08-05	1119726.000000000000	5	8.22
IMMR	2026-07-27	573502.750000000000	20	6.52
INFQ	2026-07-27	11590719.850000000000	20	8.97
INSM	2026-08-06	2627235.750000000000	20	99.02
INSP	2026-08-04	847075.900000000000	20	52.22
INTA	2026-08-05	750794.750000000000	20	32.78
INVX	2026-07-29	329838.150000000000	20	25.62
IONQ	2026-07-27	20133936.900000000000	20	32.84
IPCX	2026-07-29	87222.900000000000	20	8.93
ISOU	2026-08-21	74604.650000000000	20	10.24
JAB	2026-08-17	444319.625000000000	8	9.91
JACK	2026-07-27	1273066.450000000000	20	14.55
JLHL	2026-07-27	6100219.650000000000	20	6.08
JLHL	2026-08-18	1928478.700000000000	20	7.5
KGEI	2026-08-13	123037.400000000000	20	5.42
KMT	2026-08-05	993808.200000000000	20	36.06
KNSA	2026-07-28	666188.250000000000	20	63.535
KRNT	2026-08-12	272312.500000000000	20	17.58
KRT	2026-08-07	119511.650000000000	20	42.37
LFST	2026-08-06	2909178.450000000000	20	10.37
