ticker|alert_date|source|skip_category|skip_reason|ep_score|gap_pct|catalyst_quality|open_d0|close_d0|ret_1d|ret_5d|ret_20d|max_high_5d|max_high_20d|refreshed_et
CAVA|2026-08-12|scan_filter|score_below_50|score 38 < 50 (catalyst=routine)|38.4|15.27|routine|69.46|69.47|0.03915922833285363|0.030377195508206157||0.08907716671465603|0.08907716671465603|2026-08-21 17:18:10
CRWV|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||22.89||108.7|107.73|-0.022171113155473748|-0.16402943882244708||0.08086476540938355|0.08086476540938355|2026-08-21 17:18:10
CRWV|2026-08-12|high_unentered|window_missed|window:out_of_orb: detected 09:50 ET|51.6|19.51|routine|108.7|107.73|-0.022171113155473748|-0.16402943882244708||0.08086476540938355|0.08086476540938355|2026-08-21 17:18:10
DBGI|2026-08-12|scan_filter|atr_high|quality filter: filter:atr_too_high: 33.2% > 15.0%||12.97||15.72|16.64|-0.013994910941475867|-0.24618320610687028||0.13231552162849872|0.13231552162849872|2026-08-21 17:18:10
DFTX|2026-08-12|scan_filter|cooldown|EP cooldown — alerted within last 60 days||16.11||47.51|42.79|-0.07598400336771205|-0.035571458640286206||0.0008419280151546864|0.0008419280151546864|2026-08-21 17:18:10
EROC|2026-08-12|high_unentered|setup_other|setup:chase_cap_exceeded: limit $13.50 risk $0.75/sh vs planned $0.41/sh (cap 1.50x, ORB high $13.16)|96|16.09|game_changer|13.12|13.82|0.19359756097560984|0.09451219512195125||0.3528963414634147|0.3528963414634147|2026-08-21 17:18:10
EROC|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||21.42||13.12|13.82|0.19359756097560984|0.09451219512195125||0.3528963414634147|0.3528963414634147|2026-08-21 17:18:10
GLBE|2026-08-12|high_unentered|setup_other|setup:gap_below_floor: rt 4.8% < 10% floor (alert said 10.7%, last $42.81 vs prev close $40.86)|72|10.67|game_changer|41.06|40.55|0.027520701412566864|0.004383828543594732||0.07135898684851436|0.07135898684851436|2026-08-21 17:18:10
GLBE|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||10.25||41.06|40.55|0.027520701412566864|0.004383828543594732||0.07135898684851436|0.07135898684851436|2026-08-21 17:18:10
HRB|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||21.29||54.5|54.18|-0.021284403669724707|-0.04128440366972477||0.07651376146788993|0.07651376146788993|2026-08-21 17:18:10
HRB|2026-08-12|moderate_alert|moderate_tier||100.8|16.76|strong|54.5|54.18|-0.021284403669724707|-0.04128440366972477||0.07651376146788993|0.07651376146788993|2026-08-21 17:18:10
KRNT|2026-08-12|scan_filter|score_below_50|score 42 < 50 (catalyst=strong)|42|10.92|strong|19|17.64|-0.06052631578947361|-0.11631578947368426||0.018421052631579022|0.018421052631579022|2026-08-21 17:18:10
LENZ|2026-08-12|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $163M < $500M||14.59||5.93|5.04|-0.22428330522765602|-0.17032040472175378||0.13659359190556503|0.13659359190556503|2026-08-21 17:18:10
MRX|2026-08-12|high_unentered|window_missed|window:out_of_orb: detected 09:55 ET|53.3|12.45|strong|62.6|71.13|0.15591054313099037|0.1212460063897763||0.2044728434504793|0.2044728434504793|2026-08-21 17:18:10
NBIS|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||16.73||226|259.2|0.1284955752212389|-0.009292035398230064||0.24261061946902648|0.24261061946902648|2026-08-21 17:18:10
NBIS|2026-08-12|moderate_alert|moderate_tier||54.7|12.2|strong|226|259.2|0.1284955752212389|-0.009292035398230064||0.24261061946902648|0.24261061946902648|2026-08-21 17:18:10
OWLT|2026-08-12|scan_filter|adv_low|quality filter: filter:adv_too_low: $595,072||11.31||6.41|5.81|-0.021840873634945485|-0.09672386895475821||0.06552262090483618|0.06552262090483618|2026-08-21 17:18:10
PESI|2026-08-12|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $443M < $500M||17.19||18.56|19.43|-0.032327586206896436|-0.06788793103448265||0.14870150862068976|0.14870150862068976|2026-08-21 17:18:10
RSKD|2026-08-12|scan_filter|score_below_50|score 36 < 50 (catalyst=routine)|36|12.43|routine|6.06|6.32|0.06435643564356446|-0.006600660066006607||0.09075907590759089|0.09075907590759089|2026-08-21 17:18:10
SHAZ|2026-08-12|scan_filter|session_rvol_low|filter:session_rvol_too_low: session_rvol=0.77x (today 210,649 / baseline 274,202 n=21) < 1.0x||13.56||61.78|68.46|0.16574943347361598|0.05940433797345422||0.2949174490126254|0.2949174490126254|2026-08-21 17:18:10
SMCI|2026-08-12|scan_filter|cooldown|EP cooldown — alerted within last 60 days||13.8||34.99|37.61|0.11917690768791067|0.04544155472992273||0.20920262932266362|0.20920262932266362|2026-08-21 17:18:10
SMWB|2026-08-12|scan_filter|score_below_50|score 12 < 50 (catalyst=routine)|12|11.1|routine|8|8.79|0.12624999999999997|0.043749999999999956||0.13624999999999998|0.13624999999999998|2026-08-21 17:18:10
VELO|2026-08-12|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $408M < $500M||17.09||17.05|15.1|-0.09794721407624632|-0.18533724340175953||0.032844574780058575|0.032844574780058575|2026-08-21 17:18:10
WYFI|2026-08-12|moderate_alert|moderate_tier||84|17.34|strong|27.43|28.58|0.02880058330295294|-0.2205614290922348||0.17973022238425082|0.17973022238425082|2026-08-21 17:18:10
WYFI|2026-08-12|scan_filter|duplicate_scan|already scored earlier today||15.83||27.43|28.58|0.02880058330295294|-0.2205614290922348||0.17973022238425082|0.17973022238425082|2026-08-21 17:18:10
ZTG|2026-08-12|scan_filter|extension_gate|already up 87% in prior 5 days (extended)||32.15||9.26|10.02|0.13390928725701948|-0.8228941684665227||0.3228941684665227|0.3228941684665227|2026-08-21 17:18:10
AEBI|2026-08-13|scan_filter|score_below_50|score 42 < 50 (catalyst=routine)|42|13.66|routine|13.65|13.69|-0.06886446886446883|-0.1274725274725275||0.09523076923076916|0.09523076923076916|2026-08-21 17:18:10
AIRO|2026-08-13|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $267M < $500M||27.33||9.93|10.71|-0.03625377643504526|-0.17019133937562936||0.18629405840886204|0.18629405840886204|2026-08-21 17:18:10
AMBP|2026-08-13|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||11.2||5.36|5.28|-0.024253731343283562|-0.020522388059701552||0.020522388059701385|0.020522388059701385|2026-08-21 17:18:10
ARX|2026-08-13|scan_filter|ma_filter|M&A/buyout catalyst — no momentum trade||43.75||19.61|19.51|-0.0015298317185110219|-0.002039775624681242||0.002549719530851643|0.002549719530851643|2026-08-21 17:18:10
AVAH|2026-08-13|scan_filter|score_below_50|score 30 < 50 (catalyst=routine)|30|14.48|routine|10.09|11.29|0.22101090188305259|0.2854311199207137||0.32755203171456887|0.34836471754212095|2026-08-21 17:18:10
