d	ticker	tick_et	rt_gap	delayed_gap	basis	q1_pass	quote_state	pcv	auth
2026-08-14	MF	09:15	11.0		latest_trade	true	fresh	true	false
2026-08-14	ABX	09:35	11.27	4.46	latest_trade	true	fresh	true	false
2026-08-14	NMAX	09:35	16.75	1.69	latest_trade	true	fresh	true	false
2026-08-14	AVEX	09:35	11.06	4.12	latest_trade	true	fresh	true	false
2026-08-14	STDN	09:40	12.9	1.82	latest_trade	true	fresh	true	false
2026-08-14	BANL	09:45	18.83	1.28	latest_trade	true	fresh	true	false
2026-08-14	AAOI	09:50	11.12	2.89	latest_trade	true	fresh	true	false
2026-08-17	FVR	07:15	11.34	0.2	latest_trade	true	fresh	true	false
2026-08-17	OCUL	07:15	11.45		latest_trade	true	fresh	true	false
2026-08-17	JAB	08:30	90.72		latest_trade	true	fresh	true	false
2026-08-17	DUOT	08:40	10.54	3.73	latest_trade	true	fresh	true	false
2026-08-17	ARGX	09:10	11.91		latest_trade	true	fresh	true	false
2026-08-17	XHLD	09:40	11.56	0.34	latest_trade	true	fresh	true	false
2026-08-17	CBRS	09:40	12.84	2.29	latest_trade	true	fresh	true	false
2026-08-17	CAPR	09:45	10.53	3.91	latest_trade	true	fresh	true	false
2026-08-17	RCMT	09:50	12.92	2.94	latest_trade	true	fresh	true	false
2026-08-17	AGPU	09:55	11.73	2.4	latest_trade	true	fresh	true	false
2026-08-18	AARD	08:50	11.26	3.86	latest_trade	false	stale	true	false
2026-08-18	AIRG	08:55	10.54		minute_bar	false	fresh	true	false
2026-08-18	WEAV	09:15	32.91	0.36	latest_trade	true	fresh	true	false
2026-08-18	BANL	09:20	14.01	2.9	latest_trade	true	fresh	true	false
2026-08-18	JLHL	09:20	12.67	2.4	latest_trade	true	fresh	true	false
2026-08-18	FLXS	09:20	11.49		latest_trade	true	fresh	true	false
2026-08-19	AXIL	07:00	10.98	-2.11	minute_bar	false	fresh	true	false
2026-08-19	MRNA	07:00	58.31	0.08	latest_trade	true	fresh	true	false
2026-08-19	BNTX	07:05	15.09	2.42	latest_trade	true	fresh	true	false
2026-08-19	EIKN	07:30	17.17		latest_trade	true	fresh	true	false
2026-08-19	ARCT	07:55	13.39	3.53	latest_trade	true	fresh	true	false
2026-08-19	MRVI	08:10	14.81	4.7	latest_trade	true	fresh	true	false
2026-08-19	MRVL	08:40	11.15	-0.89	latest_trade	true	fresh	true	false
2026-08-19	AEHL	09:10	11.41	-6.54	latest_trade	true	fresh	true	false
2026-08-19	AARD	09:35	10.66		latest_trade	true	fresh	true	false
2026-08-19	DBGI	09:55	16.83	3.16	latest_trade	true	fresh	true	false
2026-08-20	VMET	07:05	11.32	0.76	minute_bar	false	fresh	true	false
2026-08-20	AIAI	08:00	13.68	2.39	latest_trade	true	fresh	true	false
2026-08-20	LYTS	08:20	10.14	1.79	latest_trade	true	fresh	true	false
2026-08-20	ELOX	09:05	10.16	-3.55	latest_trade	true	fresh	true	false
2026-08-20	MRVI	09:40	11.57	3.05	latest_trade	true	fresh	true	false
2026-08-20	MARA	09:50	9.69	4.92	latest_trade	true	fresh	true	false
2026-08-20	ACOG	09:50	9.56	4.95	latest_trade	false	stale	true	false
2026-08-21	RPC	07:55	10.2		latest_trade	true	fresh	true	false
2026-08-21	PAL	08:35	16.89		latest_trade	true	fresh	true	false
2026-08-21	NAKA	09:31	10.32	4.76	latest_trade	true	fresh	true	false
2026-08-21	ALOY	09:40	11.02	2.44	latest_trade	true	fresh	true	false
2026-08-21	CRML	09:40	12.24	2.93	latest_trade	true	fresh	true	false
2026-08-21	TMCR	09:45	9.82		latest_trade	false	stale	true	false
2026-08-21	ISOU	09:45	10.99	-0.49	latest_trade	true	fresh	true	false
2026-08-21	SDOT	09:50	12.02	-2.84	latest_trade	true	fresh	true	false
2026-08-24	RUM	07:40	10.39	-1.1	latest_trade	true	fresh	true	false
2026-08-24	AERO	09:05	9.18		minute_bar	false	fresh	true	false
2026-08-24	NCTY	09:45	25.08	-3.29	latest_trade	true	fresh	true	false
2026-08-24	SUJA	09:50	9.77	4.95	latest_trade	false	stale	true	false
2026-08-25	APMD	07:05	9.21	1.99	latest_trade	true	fresh	true	false
2026-08-25	SPAI	07:25	10.43	2.42	latest_trade	true	fresh	true	false
2026-08-25	MEI	08:05	10.33	3.35	latest_trade	true	fresh	true	false
2026-08-25	HMN	08:20	17.19		latest_trade	true	fresh	true	false
2026-08-25	NBBK	08:40	24.39	1.29	latest_trade	true	fresh	true	false
2026-08-25	OESX	09:45	13.78	0.05	latest_trade	true	fresh	true	false
2026-08-25	ABCL	09:45	9.61	3.58	latest_trade	true	fresh	true	false
2026-08-25	PSQH	09:45	9.9	1.52	latest_trade	true	fresh	true	false
2026-08-25	CRML	09:45	12.14	1.2	latest_trade	true	fresh	true	false
