cohort	ticker	scan_date	max_gap	prev_close	n_min_bars	has_930	artifact	art_reason	status_0931	reason_0931	entered_0931	entry_px_0931	stop_0931	target_0931	realized_r_0931	mark_r_0931	final_0931	partial_0931	status_0936	reason_0936	entered_0936	entry_px_0936	stop_0936	target_0936	realized_r_0936	mark_r_0936	final_0936	partial_0936
excluded	LTRX	2026-08-27	16.04	5.66	369	True	False		settled		True	7.07	6.23	7.91	-1.0		stop_hit	False	no_entry	never_crossed_orb_high	False		6.23					False
excluded	ANIK	2026-08-28	34.36	20.84	95	True	False		settled		True	21.155	20.515	21.865000000000002	-1.0		stop_hit	False	settled		True	21.085	20.515	21.655	-1.0		stop_hit	False
excluded	BETR	2026-08-31	9.89	13.85	217	True	False		settled		True	14.56	14.319999999999999	14.800000000000002	-1.2499999999999927		stop_hit	False	settled		True	14.57	14.319999999999999	14.830000000000002	-1.239999999999993		stop_hit	False
excluded	CNXU	2026-08-31	9.02	7.07	211	True	False		settled		True	7.31	6.990000000000001	7.629999999999998	-1.0		stop_hit	False	settled		True	7.31	6.990000000000001	7.629999999999998	-1.0		stop_hit	False
excluded	TITN	2026-08-31	13.94	17.86	290	True	False		open_at_horizon		True	20.35	18.33	22.370000000000005		1.1518151815181494		True	open_at_horizon		True	20.38	18.33	22.459999999999997		1.1349593495934949		True
excluded	PRLD	2026-09-01	12.32	5.6	229	True	False		settled		True	5.6	5.49	5.719999999999999	-1.0		stop_hit	False	abstain	entry_window_gaps:11_of_24	False		5.49					False
excluded	CABO	2026-09-02	11.69	23.87	220	True	False		no_trade	setup:zero_range	False							False	no_trade	setup:zero_range	False							False
excluded	DTIL	2026-09-02	11.39	7.64	269	True	False		no_trade	setup:zero_range	False							False	no_trade	setup:zero_range	False							False
excluded	EPRX	2026-09-02	11.17	6.34	255	True	False		no_entry	triggered_above_limit_never_filled	False		6.26					False	no_entry	triggered_above_limit_never_filled	False		6.26					False
excluded	FBLA	2026-09-02	21.87	15.59	109	True	False		no_trade	setup:zero_range	False							False	no_trade	setup:zero_range	False							False
excluded	JLHL	2026-09-02	33.99	5.62	375	True	False		settled		True	7.31	6.7299999999999995	7.89	-1.0		stop_hit	False	settled		True	7.31	6.7299999999999995	7.89	-1.0		stop_hit	False
excluded	CHPT	2026-09-03	49.81	5.19	390	True	False		settled		True	7.08	6.34	7.82	0.33333333333333337		stop_hit	True	open_at_horizon		True	7.12	6.34	7.94		2.017094017094017		True
excluded	GMTL	2026-09-03	9.7	10.72	220	True	False		settled		True	11.35	11.209999999999999	11.49	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		11.209999999999999					False
excluded	BBCP	2026-09-04	20.28	9.05	0	False	False		abstain	no_minute_bars_in_db									abstain	no_minute_bars_in_db								
excluded	PDEX	2026-09-04	23.47	61.75	0	False	False		abstain	no_minute_bars_in_db									abstain	no_minute_bars_in_db								
control	CGEM	2026-06-08	11.03	13.51	335	True	False		settled		True	14.2455	12.96	15.5765	-1.0		stop_hit	False	no_entry	never_crossed_orb_high	False		12.96					False
control	NRIX	2026-06-08	11.5	14.64	1	True	False		abstain	entry_window_gaps:29_of_29	False		15.320000000000004					False	abstain	entry_window_gaps:24_of_24	False		15.320000000000004					False
control	TNGX	2026-06-08	62.22	20.22	390	True	False		no_entry	never_crossed_orb_high	False		29.349999999999998					False	no_entry	never_crossed_orb_high	False		29.349999999999998					False
control	ACLS	2026-06-09	12.15	154.76	369	True	False		no_entry	triggered_above_limit_never_filled	False		158.605					False	no_entry	triggered_above_limit_never_filled	False		158.605					False
control	AVO	2026-06-09	11.18	10.11	389	True	False		settled		True	10.475	9.705	11.245	0.9956709956709964		sma_trail_stop	True	no_entry	triggered_above_limit_never_filled	False		9.705					False
control	BAP	2026-06-09	11.34	319.89	388	True	False		settled		True	341.695	338.86499999999995	344.52500000000003	10.324852767962176		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		338.86499999999995					False
control	CECO	2026-06-09	16.11	80.53	364	True	False		settled		True	86.8	86.24	87.36	-1.0		stop_hit	False	settled		True	86.8	86.24	87.36	0.3333333333333333		stop_hit	True
control	VECO	2026-06-09	15.06	61.04	389	True	False		settled		True	64.98	60.97999999999999	68.98000000000002	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		60.97999999999999					False
control	VSH	2026-06-09	11.85	57.22	390	True	False		settled		True	63.0	60.95	65.05	0.3333333333333333		stop_hit	True	settled		True	63.19	60.95	65.61999999999999	0.36160714285714257		stop_hit	True
control	CASY	2026-06-10	14.06	761.18	389	True	False		settled		True	816.265	769.755	862.775	0.5541460617788285		sma_trail_stop	True	no_entry	triggered_above_limit_never_filled	False		769.755					False
control	CBRL	2026-06-10	25.33	36.3	390	True	False		settled		True	44.7299	41.5701	47.889700000000005	0.33333333333333337		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		41.5701					False
control	ELVN	2026-06-11	18.33	37	1	True	False		abstain	entry_window_gaps:29_of_29	False		40.52290000000001					False	abstain	entry_window_gaps:24_of_24	False		40.52290000000001					False
control	IDCC	2026-06-11	15.2	253.91	383	True	False		settled		True	277.5	269.22	285.78	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		269.22					False
control	IMOS	2026-06-11	10.67	55.12	130	True	False		settled		True	60.7	57.339999999999996	64.36000000000001	0.3247023809523786		stop_hit	False	settled		True	60.5	57.339999999999996	63.760000000000005	0.6162447257383958		stop_hit	True
control	MH	2026-06-11	10.7	12.8	321	True	False		settled		True	12.06	10.599799999999998	13.580200000000003	-0.2054513080399947		sma_trail_stop	False	settled		True	12.0	10.599799999999998	13.400200000000002	-0.17140408513069558		sma_trail_stop	False
control	NAVN	2026-06-11	17.87	20.87	1	True	False		abstain	entry_window_gaps:29_of_29	False		21.740000000000002					False	abstain	entry_window_gaps:24_of_24	False		21.740000000000002					False
control	VELO	2026-06-11	16.07	22.68	390	True	False		settled		True	24.4399	21.7001	27.179700000000004	0.3333333333333333		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		21.7001					False
control	AKTS	2026-06-12	11.92	19.46	345	True	False		abstain	fwd_stop_and_target_same_day:2026-06-15	True	21.79	20.559400000000004	23.020599999999995				False	abstain	fwd_stop_and_target_same_day:2026-06-15	True	21.79	20.559400000000004	23.020599999999995				False
control	SHAZ	2026-06-12	11.87	71.51	1	True	False		abstain	entry_window_gaps:29_of_29	False		59.81000000000002					False	abstain	entry_window_gaps:24_of_24	False		59.81000000000002					False
control	ABSI	2026-06-15	17.35	6.8	386	True	False		settled		True	7.55	7.1499999999999995	7.95	0.3333333333333333		stop_hit	True	settled		True	7.59	7.1499999999999995	8.07	0.36363636363636365		stop_hit	True
control	ATRO	2026-06-15	13.03	80	338	True	False		no_entry	never_crossed_orb_high	False		78.39959999999999					False	no_entry	never_crossed_orb_high	False		78.39959999999999					False
control	AUGO	2026-06-15	13.39	60.89	366	True	False		settled		True	68.23	63.30999999999999	73.15000000000002	-0.37804878048780355		sma_trail_stop	False	settled		True	68.57	63.30999999999999	74.16999999999999	-0.4182509505703397		sma_trail_stop	False
control	HQ	2026-06-15	19.71	10.91	389	True	False		settled		True	12.49	10.389999999999999	14.590000000000002	3.724761904761902		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		10.389999999999999					False
control	HYMC	2026-06-15	13.82	25.76	387	True	False		settled		True	29.2836	27.9964	30.5708	-1.0		stop_hit	False	settled		True	29.2836	27.9964	30.5708	-1.0		stop_hit	False
control	IDR	2026-06-15	18.71	36.39	273	True	False		settled		True	41.639	38.861200000000004	44.4168	-1.0		stop_hit	False	settled		True	41.85	38.861200000000004	45.0498	-1.0		stop_hit	False
control	MMYT	2026-06-15	12.81	43.15	354	True	False		settled		True	47.68	41.919999999999995	53.440000000000005	1.373611111111111		stop_hit	True	settled		True	47.92	41.919999999999995	54.16000000000001	1.318666666666666		stop_hit	True
control	SVM	2026-06-15	13.36	11.3	390	True	False		settled		True	12.59	11.809999999999999	13.370000000000001	-0.9032051282051262		stop_hit	False	no_entry	triggered_above_limit_never_filled	False		11.809999999999999					False
