ticker	alert_date	gap_pct	ep_score	score_tier	catalyst_quality	in_active_theme	rel_volume	pm_rvol
WLDN	2026-08-07	14.67	51.6	MODERATE	strong	f	0.01	7.486
ABCL	2026-08-10	17.6	96	HIGH	game_changer	f	0.13	12.733
ACHR	2026-08-10	14.85	54	HIGH	routine	f	0.5	7.311
NESR	2026-08-10	11.99	53.3	HIGH	strong	f	0.11	2.467
SLN	2026-08-10	18.83	84	MODERATE	strong	f	0.07	
TH	2026-08-10	12.17	50.4	HIGH	strong	f	0	2.317
BW	2026-08-11	34.91	96	HIGH	game_changer	f	0.09	64.301
FRMI	2026-08-11	17.01	96	HIGH	game_changer	f	0.02	6.83
RIOT	2026-08-11	17.92	115.2	HIGH	game_changer	f	0.05	16.442
RPD	2026-08-11	16.78	84	none	strong	t	0.1	1.967
SE	2026-08-11	10.58	54.7	HIGH	strong	f	0.1	35.387
ATRO	2026-08-12	11.29	72	HIGH	game_changer	f	0.02	9.983
BE	2026-08-12	15.16	84	HIGH	strong	f	0.22	1.707
BRUN	2026-08-12	12.04	60	none	strong	f	0.02	4.452
CRWV	2026-08-12	19.51	51.6	HIGH	routine	f	0.69	5.618
EROC	2026-08-12	16.09	96	HIGH	game_changer	f	0	5.113
GLBE	2026-08-12	10.67	72	HIGH	game_changer	f	0.01	20.207
HRB	2026-08-12	16.76	100.8	MODERATE	strong	f	0.04	1.662
MRX	2026-08-12	12.45	53.3	HIGH	strong	f	0.15	2.65
NBIS	2026-08-12	12.2	54.7	MODERATE	strong	f	0.1	4.129
WYFI	2026-08-12	17.34	84	MODERATE	strong	f	0.04	6.347
BLSH	2026-08-13	12.4	54	MODERATE	routine	f	0.29	3.381
CGEM	2026-08-13	12.24	72	HIGH	game_changer	f	0.04	4.895
CRMD	2026-08-13	10	64.8	HIGH	strong	f	0.04	17.54
HLIT	2026-08-13	23.79	96	HIGH	game_changer	f	0.09	96.633
KURA	2026-08-13	13.43	60.5	HIGH	strong	f	0.29	5.685
OMER	2026-08-13	22.54	60	HIGH	routine	t	0.4	8.295
ETON	2026-08-14	23.28	96	HIGH	game_changer	t	0.01	6.559
HTFL	2026-08-14	25.12	96	HIGH	game_changer	f	0.01	8.53
LPTH	2026-08-14	10.03	54.7	MODERATE	strong	f	0.07	4.94
NMAX	2026-08-14	16.75	100.8	HIGH	strong	f	0.72	5.264
RDDT	2026-08-14	12.24	54.7	MODERATE	strong	f	0.05	5.992
STDN	2026-08-14	12.9	53.3	MODERATE	strong	f	0.18	1.112
VERA	2026-08-14	14.23	86.4	HIGH	game_changer	f	0.01	9.688
ARGX	2026-08-17	10.53	86.4	HIGH	game_changer	f	0.01	5.21
CBRS	2026-08-17	12.78	60	none	strong	f	0.52	2.977
AMLX	2026-08-18	21.33	96	HIGH	game_changer	f	0.12	154.481
MRNA	2026-08-19	33.1	115.2	HIGH	strong	f	0.07	13.953
MRVL	2026-08-19	11.38	69.1	HIGH	strong	t	0.08	2.482
TEM	2026-08-19	16.76	51.6	none	routine	f	0.61	4.899
TWST	2026-08-19	16.7	84	HIGH	strong	t	0.32	2.859
BULL	2026-08-20	15.16	100.8	HIGH	strong	f	0.08	57.475
RARE	2026-08-20	11.39	72	HIGH	game_changer	f	0.03	30.834
SCSC	2026-08-20	20.58	96	none	strong	f	0.05	5.171
UUUU	2026-08-21	9.28	51.6	HIGH	strong	f	0.27	2.119
