scan_date	ticker	scan_et	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	rank_by_gap	projected_vol_multiple	pm_rvol	adv	adv_source	minutes_since_open	price_source
2026-08-04	INSP	2026-08-04 07:40:00.050686	14.61	52.22	0	filter:pm_rvol_too_low: pm_rvol=0.63x (today 1,387 / baseline 2,189 n=13) < 1.0x				8		0.634	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 07:45:00.022253	14.61	52.22	0	filter:pm_rvol_too_low: pm_rvol=0.62x (today 1,387 / baseline 2,222 n=13) < 1.0x				9		0.624	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 07:50:00.0285	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				9		2.463	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 07:55:00.027779	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				10		2.463	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:00:00.019082	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				13		2.463	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:05:00.022799	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				13		2.463	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:10:00.040222	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				13		2.347	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:15:00.031714	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				14		2.237	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:20:00.037992	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				14		2.146	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:25:00.041833	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				14		2.071	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:30:00.027611	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				13		2.071	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:35:00.028857	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				11		1.987	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:40:00.025312	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				11		1.972	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:45:00.022947	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				12		1.938	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:50:00.03013	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				11		2.017	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 08:55:00.017919	14.61	52.22	0.01	pre-mkt volume 5,473 < 25,000 shares				13		2.003	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 09:00:00.156985	14.61	52.22	0.01	pre-mkt volume 6,039 < 25,000 shares				12		1.982	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 09:00:00.157885	14.61	52.22	0.01	pre-mkt volume 6,039 < 25,000 shares				12		1.982	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 09:05:00.042375	14.61	52.22	0.01	pre-mkt volume 7,353 < 25,000 shares				11		2.076	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 09:10:00.053121	14.61	52.22	0.01	pre-mkt volume 7,353 < 25,000 shares				10		2.118	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 09:15:00.04355	14.61	52.22	0.01	pre-mkt volume 7,353 < 25,000 shares				11		2.047	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 09:20:00.0486	15.86	52.22	0.01	pre-mkt volume 7,572 < 25,000 shares				9		2.023	968127.139957	polygon_20d		polygon_delayed
2026-08-04	INSP	2026-08-04 09:25:00.038324	15.86	52.22	0.01	pre-mkt volume 7,572 < 25,000 shares				11		1.996	968127.139957	polygon_20d		polygon_delayed
